コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
1301,2024/03,160720000000,58860000000,52354000000,42176000000,30340000000,28975000000,4965.35,36.7
130A,2023/12,1655531000,1575639000,1575639000,33048000,-,-,286.41,95.2
1332,2024/03,606384000000,257304000000,206745000000,154715000000,96680000000,109729000000,801.7,41.1
1333,2024/03,671801000000,245480000000,178870000000,123113000000,167509000000,98841000000,4112.64,30.8
1352,2022/03,41116000000,8842000000,7804000000,4100000000,2300000000,17138000000,936.39,19.1
135A,2024/02,1449901000,997040000,997040000,409472000,-,21940000,98.62,68.8
1375,2024/03,38004000000,11520000000,11454000000,17413000000,-,16857000000,287.11,30.1
1376,2024/05,48682522000,24441871000,23104608000,20541739000,-,-,2163.02,50.2
1377,2024/05,192717000000,160533000000,139045000000,121965000000,2559000000,1077000000,3650.69,83.1
1379,2024/03,103505000000,54824000000,52397000000,44194000000,12084000000,15118000000,1728.15,53
137A,2024/05,792194000,662776000,662776000,218892000,-,-,227.09,83.7
1380,2024/03,7050478000,2187079000,2136702000,874992000,1365928000,1858069000,523.57,31
1381,2024/06,24451000000,20723000000,20230000000,19352000000,-,-,3690,84.8
1382,2024/06,1123000000,769000000,769645000,237997000,-,4016000,1010.45,68.5
1383,2023/10,5672245000,2082324000,2036531000,739022000,600000000,1127571000,1273.11,35.9
1384,2024/03,17764000000,12318000000,12123000000,10314000000,-,1428000000,1456.21,69.3
138A,2023/11,1764590000,363887000,363887000,343887000,-,825082000,541.5,20.6
1400,2023/12,3184986000,2637992000,2268339000,-789479000,2600000,83314000,193.32,79
1401,2024/05,4408320000,3472954000,3440775000,2861190000,-,-,471.97,78.8
1407,2024/08,125897000000,33399000000,33090000000,36350000000,18612000000,56553000000,837.88,26.4
1414,2024/06,130141000000,104425000000,100330000000,73088000000,-,-,1981.14,79.2
1417,2024/03,519960000000,260088000000,239832000000,190849000000,75148000000,31003000000,2735.89,48.5
1418,2024/02,8135330000,3637505000,3652032000,832709000,450000000,867308000,234.45,44.7
1419,2024/05,89587000000,38327000000,38398000000,31259000000,5963000000,1966000000,1321.09,42.7
141A,2024/06,283627000000,118187000000,114443000000,71952000000,-,12195000000,948.63,40.8
1420,2024/03,46406595000,14905038000,14920739000,6395423000,4678000000,5821000000,1338.62,32.1
1429,2023/12,20392151000,9304646000,9304273000,7523317000,2400000000,-,296.25,45.6
142A,2024/03,2179309000,486090000,486090000,-62209000,-,272851000,348.08,22.3
1430,2024/05,23717601000,8468076000,8464766000,8037300000,1500000000,2154443000,708.48,35.7
1431,2024/06,11741000000,4570000000,4570600000,2271032000,2446450000,1379309000,194.2,38.9
1433,2024/01,10879242000,4095265000,4537426000,3091398000,2100000000,1540244000,461.31,37.6
1434,2024/08,17734000000,6746000000,6558241000,4269395000,1595096000,3755930000,958.88,37.4
1435,2023/12,12019376000,8594173000,8565728000,1395244000,427500000,218730000,95.58,71.5
1436,2024/04,12122962000,5033018000,5032810000,3277405000,354700000,3135884000,1234.79,41.5
1438,2023/09,4695863000,3526542000,3476098000,2741407000,200000000,5290000,1100.08,75.1
1439,2023/12,4356318000,1830095000,1748858000,1261183000,125000000,573535000,1322.83,40.2
143A,2024/03,1999650000,1486639000,919599000,673135000,-,-,514.39,47.3
1443,2024/03,17228542000,11064790000,10108762000,7515762000,-,3208025000,681.55,64.2
1444,2024/07,2767000000,1501000000,1507334000,908365000,600000000,130618000,1379.9,54.2
1446,2023/09,6225228000,2706086000,2706086000,637069000,300000000,727517000,293.98,43.5
1447,2024/03,18051775000,3120698000,3019849000,-1881601000,6922409000,2305286000,118.42,16
1449,2023/12,687842000,269222000,269222000,183374000,50000000,196040000,126.4,39.1
1450,2024/03,9119386000,6990170000,6908649000,6363024000,-,-,1607.14,76.7
1451,2024/03,15025464000,6395081000,6394726000,4937079000,200000000,3086267000,1601.84,42.6
145A,2023/12,1320628000,636232000,636232000,-937437000,30000000,483750000,153.12,48.2
146A,2023/12,32001000000,7140000000,7140000000,7034000000,3251000000,15296000000,2856,22.3
147A,2024/03,10917376000,8404441000,8039420000,502341000,-,-,190.76,75.5
148A,2023/12,1838204000,251520000,251520000,-956351000,100000000,231890000,147.27,13.7
1491,2024/03,12135201000,7107645000,7107645000,940237000,1226000000,730438000,24.66,58.6
149A,2023/12,536751000,391938000,391938000,-119686000,-,21875000,145.58,73
150A,2024/03,2539631000,1834631000,1834631000,-432110000,-,64288000,334.63,72.2
1514,2024/03,31137000000,26989000000,26342000000,24346000000,43000000,-,524.68,86.7
1515,2024/03,229577000000,150722000000,116008000000,109759000000,17076000000,2514000000,8460.82,61.3
1518,2024/03,99740000000,64023000000,60324000000,52653000000,3177000000,4377000000,5322.43,63.6
151A,2024/06,4314000000,1895000000,1895315000,1274159000,30000000,193476000,685.47,43.9
153A,2023/12,1178698000,451657000,451657000,396657000,51000000,250000000,79.15,38.3
155A,2023/12,1837854000,713885000,713489000,663489000,150000000,173768000,83.94,38.8
156A,2024/08,3260000000,2025000000,2024173000,1679024000,-,152098000,207.87,62.1
157A,2024/06,1850000000,1472000000,1472043000,902693000,-,50794000,461.46,79.6
1605,2023/12,6739476000000,4499033000000,4209101000000,2746530000000,161059000000,895923000000,4172.53,62.5
160A,2024/03,15952381000,2380026000,2380026000,2174426000,485068000,3486410000,785.49,14.9
1662,2024/03,660928000000,537574000000,404040000000,397846000000,-,-,9532.44,76.2
1663,2023/12,111445000000,92929000000,88761000000,68025000000,357000000,569000000,3386.38,80.9
168A,2024/01,2526843000,421087000,421087000,218087000,-,1251664000,401.04,16.7
1711,2024/03,3790177000,782876000,666529000,-3669982000,1377400000,1095974000,67.86,17.6
1712,2024/02,27351000000,17674000000,16215000000,11873000000,1500000000,3143000000,976.81,59.9
1716,2024/06,21858000000,18285000000,18170577000,17468245000,-,191807000,1607.04,83.1
1717,2024/03,7323942000,5084944000,5065984000,4471485000,-,-,436.77,69.2
1718,2023/12,30118560000,17397618000,15193617000,13833967000,3150000000,1940809000,14026.2,50.9
1719,2024/03,334145000000,154470000000,141664000000,128575000000,16348000000,7249000000,980.49,46
1720,2024/03,264525000000,100789000000,92672000000,73553000000,33207000000,21521000000,947.38,37.8
1721,2024/03,514647000000,368055000000,354364000000,300918000000,3984000000,70000000,3031.92,70.3
1723,2024/03,46021000000,34460000000,33162000000,32969000000,-,-,4329.35,74.9
1724,2023/12,10686000000,5683000000,5535000000,3920000000,100000000,400000000,1224.14,53.2
1726,2024/03,42351000000,14448000000,14188000000,8719000000,11500000000,3366000000,321.32,33.9
1730,2024/03,2980227000,986536000,972710000,584683000,-,697634000,288.99,33.1
1734,2023/03,7415354000,-2638814000,-2695122000,-4192781000,5100000000,-,-4184.24,-35.6
1736,2024/03,31797724000,20255716000,18610015000,17970923000,1424564000,84018000,3870.02,62.2
1738,2024/03,7598170000,4297111000,4251923000,3921922000,510000000,595010000,1060.2,56.6
1739,2023/06,29055255000,8534674000,8534674000,7813552000,6375510000,7996898000,1402.27,29.4
173A,2024/03,5570964000,2160731000,2064434000,1951604000,-,-,519.9,38.8
1743,2023/09,11899041000,8398452000,8216279000,5624410000,-,-,3692.71,70.6
1757,2024/03,1265496000,222338000,205688000,-14960930000,203000000,650000000,0.74,16.3
1758,2024/01,11640346000,8715153000,8187410000,8020792000,-,111112000,4381.32,74.9
175A,2024/03,775596000,312420000,311716000,-260227000,299500000,10370000,250.58,40.2
1762,2024/03,245149000000,134069000000,133619000000,127822000000,6000000000,-,3849.21,54.7
1764,2024/06,15528000000,4857000000,4749929000,3505005000,1630000000,1126897000,3909.62,31.3
1766,2023/04,198449000000,115290000000,115132000000,110519000000,-,-,8575.53,58.1
1768,2024/03,11617000000,8709000000,8401783000,7321266000,-,-,1192.22,75
176A,2024/06,17519000000,8331000000,8301887000,6701192000,-,2241706000,444.82,47.4
1770,2024/03,33218092000,17778346000,17110590000,16461166000,855000000,-,1941.07,53.5
1771,2023/09,13438990000,8607916000,8283342000,7227858000,115200000,329600000,1736.45,64.1
1775,2024/03,81009000000,42172000000,40375000000,31817000000,75000000,-,4614.73,51.2
1776,2024/03,27694000000,13653000000,13470000000,10630000000,-,-,1486.55,49.3
1777,2024/03,20326000000,11630000000,11553000000,9585000000,-,-,971.99,57.2
177A,2024/03,6589322000,3342393000,3281083000,2528621000,1500000000,525000000,802.5,50.7
1780,2024/03,31981657000,20477399000,19524294000,15471358000,-,-,1081.9,64
1783,2023/09,7546020000,6401948000,6323306000,-4962911000,-,3772000,37.19,83.8
1786,2024/03,72923000000,49962000000,48901000000,42538000000,600000000,2538000000,377.11,68.5
1787,2024/03,11328000000,8297000000,8097467000,6850290000,-,-,3371.65,73.3
1788,2024/06,4516000000,3209000000,3071977000,1742899000,-,-,5132.8,70.2
1789,2023/09,6673903000,2704794000,2876862000,1125516000,610000000,677512000,424.51,40.5
1793,2024/03,99374000000,67260000000,63300000000,55828000000,8100000000,-,4705.23,67.7
1795,2023/09,7540025000,4754099000,4755158000,2663131000,-,101396000,5394.8,63.1
1798,2024/03,30588887000,14447795000,14115651000,11165664000,800000000,-,6629.86,47.2
1799,2024/03,80943341000,69339203000,65286276000,60568863000,-,-,3562.66,85.7
1801,2024/03,2583641000000,961000000000,710947000000,558721000000,110530000000,142787000000,5039.98,36
1802,2024/03,3017047000000,1194810000000,870884000000,773841000000,68142000000,131507000000,1606.18,38.2
1803,2024/03,2538769000000,948059000000,677206000000,586761000000,242147000000,131890000000,1243.88,35
1805,2024/03,150869000000,48803000000,47135000000,35948000000,18359000000,16487000000,2549.05,32.3
1807,2024/03,35132383000,21140626000,18356689000,15940174000,-,-,3387.37,60
1808,2024/03,1351231000000,511246000000,489347000000,461707000000,-,285000000000,1874.17,37.8
1810,2024/03,77564000000,47619000000,40626000000,37440000000,5000000000,-,1642.31,61.4
1811,2024/03,203611000000,92929000000,58127000000,54427000000,18550000000,14800000000,12975.48,45.6
1812,2024/03,3135149000000,1223655000000,949642000000,891884000000,324318000000,208273000000,2514.97,38.6
1813,2024/03,55247000000,33269000000,32292000000,14151000000,4509000000,50000000,2156.16,59.4
1814,2024/03,59107000000,22551000000,21295000000,17095000000,1300000000,3004000000,2190.76,38.2
1815,2024/03,211271000000,72131000000,55854000000,34102000000,24918000000,9336000000,4853.66,34
1820,2024/03,579624000000,176856000000,150320000000,163358000000,49929000000,25221000000,4277.03,29.1
1821,2024/03,411601000000,77165000000,67626000000,58701000000,21221000000,48995000000,445.32,17
1822,2024/03,165081000000,68919000000,65028000000,14698000000,6950000000,6000000000,3838.78,40.9
1826,2024/03,26297000000,15245000000,14407000000,10568000000,282000000,278000000,995.21,58
1827,2024/03,80616000000,42159000000,36826000000,30400000000,618000000,204000000,1183.04,50.4
1828,2024/03,46239329000,22633568000,21993481000,19943281000,4500000000,475000000,2161.55,48.9
1832,2024/03,46787000000,30058000000,28479000000,21721000000,-,-,1450.78,64.2
1833,2024/03,384750000000,191573000000,148673000000,107684000000,16701000000,5108000000,5123.57,49
1835,2024/03,168117929000,111483492000,105011321000,102929517000,10000000000,-,3207.7,65.7
1840,2023/10,24968453000,12339137000,12246302000,860941000,-,2900000000,493.62,49.4
1841,2024/03,14726000000,11242303000,10994830000,11030883000,200000000,113110000,3473.61,76.3
1844,2024/07,11931000000,5617000000,5539527000,1453171000,686883000,3313354000,296.95,46.4
1847,2024/03,63920000000,30080000000,29324000000,24807000000,3646000000,1972000000,4140.56,47
1848,2024/03,33669000000,10407000000,10110000000,6318000000,7055000000,1912000000,585.26,30.9
184A,2024/04,452334000,289461000,289461000,59216000,-,37845000,139.96,64
1850,2024/03,30335000000,15773000000,15253000000,11553000000,1848000000,80000000,547.15,52
1852,2024/03,101251000000,48705000000,44251000000,32499000000,6460000000,2258000000,590.22,47
1853,2024/03,27393000000,14361000000,14228000000,12391000000,800000000,-,438.48,52.4
1860,2024/03,872060000000,355524000000,246037000000,208849000000,74103000000,89272000000,1144.63,40
1861,2024/03,467232000000,180014000000,164737000000,120115000000,10906000000,26474000000,4185.51,38.5
1866,2024/03,77829000000,43693000000,38175000000,29060000000,-,-,7524.55,55.4
1867,2024/03,50300277000,27295855000,26583926000,16230401000,2110872000,262760000,4191.95,54.2
1869,2024/03,104037000000,71640000000,59267000000,56799000000,968000000,2832000000,2827.71,68.6
186A,2024/04,24990809000,5401357000,5401357000,-679294000,2487960000,7375050000,59.45,21.6
1870,2024/03,126000000000,66538000000,69192000000,56015000000,14100000000,8300000000,1546.4,52.8
1871,2024/03,122118000000,52170000000,47974000000,36137000000,10818000000,9060000000,1118.51,42.7
1873,2024/04,43222000000,21251000000,20814000000,16921000000,3827000000,4251000000,522.4,48.3
1878,2024/03,1080069000000,405800000000,396371000000,391255000000,-,57176000000,6162.22,37.6
1879,2024/03,168154000000,113095000000,112644000000,106113000000,-,-,1933.59,67.3
1882,2024/03,92895000000,56075000000,50893000000,38670000000,600000000,900000000,1162.66,58.8
1884,2024/03,149926000000,100214000000,99693000000,72884000000,1000000000,8700000000,2276.82,66.7
1885,2024/03,272936000000,96700000000,84395000000,55294000000,29896000000,9806000000,1206.26,35
1887,2024/05,145677000000,68591000000,66873000000,48059000000,7186000000,21227000000,819.47,47
1888,2024/03,90775000000,47384000000,42037000000,28044000000,2937000000,1410000000,3600.55,50.6
1890,2024/03,164160000000,80800000000,73002000000,53367000000,6534000000,1615000000,831.98,47.6
1892,2024/03,49827000000,19110000000,18283000000,13001000000,1336000000,1319000000,9213.19,38.2
1893,2024/03,566028000000,173064000000,157011000000,108948000000,43705000000,25611000000,607.35,30.6
1897,2023/12,22201000000,18151000000,15561000000,17313000000,-,-,8259.91,80.2
1898,2024/03,76042000000,40533000000,39541000000,37816000000,106000000,6700000000,1111.45,53.3
1899,2023/12,136731000000,80333000000,78448000000,70651000000,745000000,754000000,9624.2,58.2
189A,2024/05,8792346000,1271588000,1271588000,994718000,6426389000,495102000,828.94,14.5
1904,2024/03,45770852000,25714576000,23534911000,16566231000,-,-,4359.43,56.2
1905,2024/03,19066990000,12689604000,12196248000,8685750000,-,-,1876.87,64.5
1909,2024/03,54029246000,27048209000,21058155000,18223746000,4020925000,1163504000,3320.32,41.2
190A,2024/08,4632000000,4161000000,4158362000,-5721780000,-,-,61.44,89.8
1911,2023/12,1812722000000,823296000000,613398000000,524297000000,51755000000,230306000000,3686.51,41.6
1914,2024/03,32839000000,21940616000,20519597000,13533892000,3100000000,-,1094.88,66.8
1921,2024/03,76310000000,51395150000,39307318000,34604438000,7473500000,3751000000,1273.7,67.4
1925,2024/03,6533721000000,2523762000000,2278281000000,1903326000000,122253000000,988909000000,3810.21,37.3
1926,2024/03,124447000000,91094000000,86483000000,78867000000,1438000000,62000000,1877.44,72.5
1928,2024/01,3352798000000,1794052000000,1554276000000,1132275000000,440075000000,239089000000,2707.9,52.3
1929,2024/03,54425000000,34037000000,32850000000,25024000000,-,-,811.37,62.2
192A,2024/05,2121041000,1362359000,1362359000,1262359000,-,-,681.18,64.2
1930,2024/03,62749000000,41865000000,41524000000,36099000000,176000000,143000000,1495.73,66.7
1934,2024/03,231479000000,142406000000,139648000000,124259000000,2431000000,4490000000,1986.44,61.5
1938,2024/03,87315000000,59775000000,56988715000,53121873000,500000000,-,2415.07,68.5
1939,2024/03,103205000000,61796000000,58784000000,51724000000,420000000,6536000000,3921.52,59.8
1941,2024/03,280542000000,213921000000,193377000000,197818000000,-,-,3893.06,75.2
1942,2024/03,567275000000,345800000000,310313000000,294174000000,16668000000,5185000000,1633.95,58.9
1944,2024/03,815887000000,574053000000,506264000000,453615000000,15020000000,-,2848.1,70.3
1945,2024/03,107471000000,68548000000,64736000000,59214000000,992000000,5952000000,2047.25,63.8
1946,2024/03,304931000000,131140000000,117609000000,104598000000,12082000000,21299000000,7010.71,43
1948,2024/03,32424000000,20455000000,18849000000,16335000000,560000000,-,2299.68,62.8
1949,2024/03,181664000000,110932000000,92610000000,80459000000,1540000000,836000000,2988.24,58.3
194A,2024/06,5784000000,2113000000,2113630000,-323077000,100000000,2423347000,282.8,36.5
1950,2024/03,282597000000,199115000000,169485000000,158440000000,100000000,-,3150.52,65.7
1951,2024/03,591637000000,319059000000,288998000000,264552000000,29192000000,43193000000,1489.68,52.9
1952,2024/03,117351000000,65594000000,52477000000,43212000000,9650000000,83000000,2868.15,55.8
1954,2023/06,195391000000,83784000000,80873000000,60407000000,28716000000,17385000000,5367.86,41.4
1959,2024/03,503284000000,291125000000,278962000000,253824000000,28930000000,3025000000,4082.93,57.4
195A,2024/03,1794869000,751862000,751007000,-11949000,75000000,449816000,274.18,41.8
1960,2024/03,48968000000,29098000000,27001498000,26172666000,1541596000,-,1890.85,59.3
1961,2024/03,202161000000,104621000000,82436000000,75769000000,6386000000,2374000000,1967.01,51.7
1963,2024/03,792296000000,387885000000,374202000000,350511000000,3817000000,14717000000,1598.71,48.7
1964,2024/03,48863000000,27768000000,22451000000,15441000000,6100000000,1188000000,3709.04,56.4
1965,2024/03,76228000000,49186000000,41712000000,38466000000,-,65000000,2337.66,64.5
1966,2024/03,37630819000,16889952000,16100627000,12482369000,6000000000,64265000,2617.87,44
1967,2024/03,52888840000,37335019000,33321063000,24529716000,600000000,539749000,1478.02,70.5
1968,2024/03,153023000000,100592000000,93530000000,85270000000,-,8631000000,5120.36,64.8
1969,2024/03,340106000000,167231000000,145040000000,128724000000,14133000000,-,2476.37,48.3
196A,2024/06,2421000000,2060000000,2060859000,-1468219000,8330000,100000000,227.15,85.1
1971,2023/03,9130051000,2450097000,2450097000,1211460000,1700000000,1882662000,1042.09,26.8
1972,2024/03,40162000000,24963000000,22649000000,20616000000,-,-,6474.15,62.2
1973,2024/03,284897000000,157481000000,150344000000,120740000000,6230000000,-,1024.09,53.5
1975,2024/03,84012000000,38756000000,34316000000,27321000000,3300000000,-,1506.47,46.1
1976,2024/03,84432000000,63868000000,59426000000,55739000000,-,100000000,1299.1,75.1
1979,2024/03,266494000000,151562000000,118974000000,111869000000,3747000000,143000000,4388.04,54
197A,2024/06,29261000000,13666000000,13666834000,10777852000,4500000000,4307000000,136.59,46.7
1980,2024/03,160553000000,93987000000,81577000000,75360000000,2788000000,369000000,2187.84,58.4
1981,2024/03,28645930000,18797790000,17930314000,17906822000,-,-,1686.88,65.6
1982,2024/03,98226000000,69914000000,60795000000,51516000000,-,-,3056.69,70
198A,2024/05,1279535000,868408000,865238000,864238000,-,-,86.52,67.6
1992,2024/03,9463178000,5769339000,5089677000,2912571000,200000000,-,2462.6,61
1994,2023/12,12709925000,10701213000,10675030000,7762232000,535000000,144000000,1293.17,84.2
1997,2024/08,10310000000,6810000000,6728741000,5429477000,-,254080000,3366.77,66.1
1999,2024/06,8666000000,5833000000,5396681000,3894967000,1291454000,284599000,8384.2,67.3
2001,2024/03,386692000000,228285000000,172177000000,151492000000,18873000000,17207000000,2874.14,58
2002,2024/03,826702000000,516381000000,363383000000,344428000000,15101000000,12014000000,1682.1,60.5
2003,2024/03,64240000000,49676000000,43339000000,37266000000,400000000,-,5449.37,77.2
2004,2024/03,262238000000,133253000000,113931000000,92934000000,13051000000,8300000000,3875.56,49.4
2009,2023/12,42305184000,34482961000,28863654000,25370188000,2190940000,158009000,1480.22,81.4
202A,2024/03,3543232000,2261862000,2261635000,2161135000,-,-,28.27,63.8
2053,2024/03,103824000000,65662000000,62217000000,54113000000,1800000000,4250000000,2218.03,63.2
2055,2024/03,32633000000,18164000000,17576000000,14382000000,3969000000,-,1002.88,55.7
2058,2024/03,14700000000,5206000000,4834000000,4674000000,3128000000,2864000000,1319,35.4
205A,2024/05,13390586000,3092591000,3075383000,1673703000,2163803000,2122202000,801.59,23.1
2060,2024/03,131038000000,50856000000,47639000000,28075000000,10580000000,21178000000,1313.99,38.4
206A,2023/09,1211426000,1148015000,1147591000,-493220000,-,-,41.57,94.7
2107,2024/03,13696000000,11152000000,10874000000,7974000000,-,-,2045.06,81.4
2108,2024/03,103022000000,72535000000,58632000000,46664000000,10901000000,48000000,5647.48,70.4
2109,2024/03,191428000000,117340000000,107660000000,92719000000,6626000000,15490000000,3475.67,58.6
2112,2024/03,27507000000,13711000000,12848000000,13773000000,4300000000,3873000000,500.74,49.8
2114,2024/03,32419118000,23851394000,20517930000,17608463000,3096800000,-,887.29,73.5
2117,2024/03,95918000000,71107000000,71107000000,31012000000,8000000000,-,2170.22,74.1
211A,2024/07,8403000000,4100000000,4100816000,3147535000,-,1336341000,4050.19,48.8
2120,2023/09,51166000000,32554000000,32456000000,11662000000,5329000000,297000000,253.57,63.4
2121,2024/03,207342000000,175730000000,172240000000,163190000000,1090000000,6341000000,2466.36,83.6
2122,2023/09,11094044000,5780519000,5734103000,4650719000,-,-,920.93,52.1
2124,2023/12,23518000000,17217000000,16930000000,17722000000,-,-,107.9,73.2
2127,2024/03,58640609000,43973612000,43234214000,54158155000,-,4900000000,138.41,74.9
212A,2023/10,4106807000,1074108000,1074108000,924108000,-,720017000,71.89,26.2
2130,2024/03,11527087000,5934709000,5934709000,5020941000,-,-,464.84,51.5
2134,2024/03,1216171000,153326000,121873000,-8586620000,428585000,111708000,1.05,12.2
2136,2024/03,6144020000,3810570000,3810570000,3149602000,600000000,-,969.56,62
2137,2024/03,7771996000,3667800000,3667800000,2415206000,100000000,6750000,1755.6,47.2
2138,2024/03,27084085000,10808740000,10076161000,11450334000,-,2658964000,1017.67,39.3
2139,2024/03,5185000000,2010000000,1922864000,1470990000,460000000,519613000,285.49,37.4
2146,2024/03,68456000000,34443000000,27007000000,24973000000,1062000000,7900000000,689.31,40
2148,2024/03,11378173000,9803861000,9803861000,7536675000,-,-,505.95,86.2
2150,2023/12,14168782000,11501516000,11265340000,6486661000,-,71092000,252.23,79.3
2151,2023/03,90453000000,37429000000,35871000000,17457000000,7052000000,20866000000,1250.17,39.6
2152,2024/03,12754097000,9601260000,9208530000,9236950000,-,-,888.79,75.3
2153,2024/05,41423000000,32592000000,31379000000,24600000000,-,17000000,2077.99,78.7
2154,2024/06,116566000000,73347000000,73198000000,-7004000000,1606000000,30000000,843.15,62.8
2156,2024/03,4086350000,1930604000,1888292000,1589795000,76000000,235283000,462.12,47.2
2157,2024/08,61714000000,30354000000,30746433000,26049100000,-,5725060000,374.91,49.2
2158,2024/03,7522865000,2839559000,874727000,-4959834000,1200000000,937520000,66.37,34.7
2159,2022/04,8343897000,4931425000,4908067000,3191446000,-,290000000,317.25,58.7
215A,2023/10,17800156000,6201964000,6182665000,-894128000,7050200000,908415000,65.22,34.7
2160,2023/12,62394370000,36052778000,33794414000,8790563000,1300000000,1600000000,678.01,54.2
2162,2024/03,35976092000,3344870000,4235065000,4489940000,16288251000,1874937000,214.54,9.3
2163,2024/01,6114087000,4271153000,4270337000,3864599000,-,-,401.97,69.9
2164,2024/08,1246000000,302000000,302205000,-347004000,200000000,90060000,113.21,24.2
2168,2024/05,301090000000,154661000000,147260000000,127449000000,9263000000,29427000000,3789.42,49.3
2169,2023/12,10767513000,8291905000,8248764000,6162775000,700000000,-,1215.83,77
2170,2023/12,30843000000,12940000000,10165000000,7396000000,-,-,92.87,33
2172,2024/06,1165000000,739000000,724654000,537358000,100000000,-,451.5,62.2
2173,2023/12,7667146000,2642258000,2639310000,2338072000,30000000,1688100000,171.28,34.5
2175,2024/03,72475000000,44284000000,40071000000,39111000000,-,4251000000,507.22,60.7
2176,2022/03,4861348000,1363762000,1363762000,332467000,-,644890000,454.77,28.1
2178,2022/02,15333367000,7477226000,7466380000,7917808000,2892012000,219567000,297.8,48.7
2179,2024/03,8863064000,3474458000,3512339000,3364570000,-,1383691000,626.27,39.2
2180,2024/06,8472000000,4136000000,3863524000,2744514000,236000000,563416000,266.2,46.9
2181,2024/03,518730000000,208317000000,192349000000,165979000000,14144000000,20000000000,84.15,37.1
2183,2024/03,18539915000,8235021000,6871781000,7315200000,600000000,1499950000,364.6,44.4
2185,2023/09,24746506000,19222517000,18408641000,18348015000,80120000,309685000,1428.67,76.5
2186,2024/02,5098438000,4164658000,4149851000,4158176000,-,-,527.48,81.4
218A,2024/07,1517000000,865000000,860116000,-1138594000,-,292690000,45.66,56.7
2193,2023/12,14597655000,13727899000,13727899000,3268637000,-,-,146.87,94
2195,2023/12,6175708000,2266204000,2217210000,1480808000,-,1807055000,128.77,36.6
2196,2024/03,23199751000,6241948000,6254907000,1784272000,642120000,6034539000,462.08,26.9
2198,2023/10,20012005000,10050083000,9948620000,9671036000,150000000,3132601000,341.68,50
219A,2023/10,5719751000,5269559000,5256929000,-2964803000,-,-,260.31,91.9
2201,2024/03,223644000000,132653000000,117239000000,86305000000,-,10000000000,1448,58.7
2204,2024/03,43517528000,26605718000,23876434000,8785294000,2500000000,-,4581.73,61.1
2206,2023/12,395743000000,263116000000,230089000000,226230000000,-,-,4128.68,66.3
2207,2024/03,81726000000,51068000000,28509000000,27788000000,3070000000,9079000000,3018.77,62.5
2208,2024/03,94233000000,56434000000,56035000000,49150000000,2000000000,2366000000,2348.99,59.9
2209,2024/03,38090260000,21005716000,17787628000,11405673000,3700000000,-,1603.89,55.1
220A,2023/09,2078251000,1594424000,1589036000,1605316000,-,-,531.47,76.7
2211,2023/12,83125000000,60640000000,53763000000,31440000000,960000000,-,2170.05,67.3
2212,2023/12,802035000000,446132000000,337856000000,343395000000,55608000000,16690000000,1942.84,49.9
2215,2023/12,17730000000,6211000000,6150000000,-803000000,3800000000,-,896.95,35
2216,2023/12,25839244000,14533900000,14446167000,9845310000,-,-,1043.94,56.2
2217,2024/01,27919745000,19719864000,19240846000,12146385000,1590000000,-,2850.79,70.6
2218,2024/03,14214550000,5189849000,2120411000,1084501000,550000000,1074500000,2479.92,36.5
2220,2024/03,120510000000,73718000000,60474000000,60260000000,9652000000,11189000000,3317.16,58
2221,2024/03,85753862000,63806453000,23711492000,23362260000,-,405200000,6134.86,74.4
2222,2024/03,46510000000,35223000000,35042000000,32508000000,-,300000000,226.37,75.7
2224,2024/03,5314732000,2020522000,3927962000,3877929000,900000000,460032000,581.52,38
2226,2024/03,36399000000,17368000000,16884000000,12464000000,500000000,322000000,1603.52,47
2229,2024/03,292158000000,201086000000,181293000000,191706000000,1433000000,25000000000,1535.48,65.6
2264,2024/03,565998000000,282135000000,261320000000,233741000000,4519000000,14199000000,3192.32,49
2266,2023/12,50985000000,30096646000,28889008000,25840204000,5000000000,3000000000,1544.75,59
2267,2024/03,833286000000,605946000000,481613000000,519641000000,41834000000,30335000000,1811.97,65.9
2268,2023/12,21351145000,12371827000,12213938000,11255092000,-,514070000,1283.94,57.9
2269,2024/03,1205288000000,787793000000,690332000000,626158000000,22330000000,17596000000,2674.72,61.9
2270,2024/03,431222000000,235300000000,198983000000,167278000000,7081000000,29054000000,3436,53.8
2281,2024/03,244793000000,130213000000,108265000000,90554000000,362000000,15961000000,2374.21,48.7
2282,2024/03,958237000000,539202000000,527503000000,390305000000,-,-,5138.82,55
2286,2024/03,29043817000,11093208000,9585157000,6327074000,5914636000,1589220000,1285.21,38.2
2288,2024/03,121819000000,62751000000,53656000000,28474000000,9248000000,5177000000,2494.88,50.9
228A,2023/11,1096565000,157252000,157252000,59252000,-,-,95.86,14.3
2291,2024/03,13567000000,2369000000,1812000000,-2301000000,4253000000,1626000000,709.37,17.5
2292,2024/02,224240000000,126576000000,108688000000,85994000000,7866000000,35516000000,3754.77,53
2293,2024/03,13600776000,4011120000,3315052000,1555231000,2405000000,870373000,1953.28,29.5
2294,2024/04,21687000000,17657000000,17445000000,18627000000,-,-,1685.73,81.4
2296,2024/03,462570000000,285326000000,265424000000,148784000000,39815000000,340000000,5018.35,61.5
2300,2024/02,4327964000,2115017000,1773853000,989745000,260000000,712921000,402.01,48.9
2301,2023/10,15605815000,13265283000,13427717000,10360309000,-,-,948.81,84.9
